100.000COP,,IVA incluido,ILIMITADO,Servicio preferencial de canales de atención exclusivos,"Servicio preferencial,",,"portación,línea nueva,pre2pos,","11/07/2021, 01:23:15"
100.000COP,,IVA incluido,ILIMITADO,"Llamadas ilimitadas LDI a EEUU, Puerto Rico y Canadá marcando por el 00414","EEUU,Canadá,Puerto Rico,","Llamadas ilimitadas,","portación,línea nueva,pre2pos,","11/07/2021, 01:23:15"
100.000COP,,IVA incluido,ILIMITADO,Voz y SMS ilimitados a todo destino nacional,"Voz,SMS,","ilimitados,","portación,línea nueva,pre2pos,","11/07/2021, 01:23:16"
COP,34.990COP,,15GB,Además  2 GB  para  compartir,2,,"portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:35"
COP,34.990COP,,15GB,"Apps ilimitadas WhatsApp, Facebook, Waze,Twitter","Facebook,WhatsApp,Waze,Twitter,","ilimitadas,Apps ilimitadas,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:36"
COP,34.990COP,,15GB,100 minutos Venezuela,"Venezuela,100","minutos,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:38"
COP,34.990COP,,15GB,"Minutos  Ilimitados   a todo
									operadorColombia, Estados Unidos, Canadá y Puerto Rico","Canadá,Puerto Rico,Estados Unidos,","Ilimitados,Minutos,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:40"
COP,34.990COP,,15GB,SMS  ilimitados  a todo destino,"SMS,","ilimitados,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:44"
COP,34.990COP,,15GB,Movistar Cloud 5 GB,"Cloud,5",,"portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:45"
44.990COP,22.495COP,,25GB,Además  5 GB  para compartir y Pasa Gigas,5,,"portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:46"
44.990COP,22.495COP,,25GB,"Apps ilimitadas WhatsApp, Facebook, Waze,Twitter,
									Instagram","Facebook,WhatsApp,Instagram,Waze,Twitter,","ilimitadas,Apps ilimitadas,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:46"
44.990COP,22.495COP,,25GB,150 minutos Venezuela,"Venezuela,150","minutos,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:47"
44.990COP,22.495COP,,25GB,"Minutos  Ilimitados   a todo
									operadorColombia, Estados Unidos, Canadá y Puerto Rico","Canadá,Puerto Rico,Estados Unidos,","Ilimitados,Minutos,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:47"
44.990COP,22.495COP,,25GB,SMS  ilimitados  a todo destino,"SMS,","ilimitados,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:47"
44.990COP,22.495COP,,25GB,Movistar Cloud 5 GB,"Cloud,5",,"portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:47"
59.990COP,29.995COP,,40GB,Además  10 GB  para compartir y Pasa Gigas,10,,"portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:47"
59.990COP,29.995COP,,40GB,"Apps ilimitadas WhatsApp, Facebook, Waze,Twitter,
									Instagram, TikTok","Facebook,WhatsApp,Instagram,Waze,Twitter,TikTok,","ilimitadas,Apps ilimitadas,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:48"
59.990COP,29.995COP,,40GB,500 minutos Venezuela,"Venezuela,500","minutos,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:48"
59.990COP,29.995COP,,40GB,"Minutos  Ilimitados   a todo
									operadorColombia, Estados Unidos, Canadá y Puerto Rico","Canadá,Puerto Rico,Estados Unidos,","Ilimitados,Minutos,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:48"
59.990COP,29.995COP,,40GB,SMS  ilimitados  a todo destino,"SMS,","ilimitados,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:48"
59.990COP,29.995COP,,40GB,Movistar Cloud 5 GB,"Cloud,5",,"portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:48"
65.990COP,32.995COP,,ILIMITADO,Además  17 GB  para compartir y Pasa Gigas,17,,"portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:49"
